geo_fips,statefips,countyfips,tractfips,blockgroupfips,totalpopest2015_19acs,yearofstartdate,underage1popest2015_19acs,age0to17popest2015_19acs,unique0to17withed_visit,unique0to17withed_visitper100,numbered_visitsage0to17,ed_visitsper100age0to17,numberlowacuityed_visitsage0to17,lowacuityed_visitsper100age0to17,numberasthmarelateded_visits,asthmarelateded_visitsper100age0to17,numbered_visitsbychildrenunder1yearold,numberofinjuryrelatedvisits,injuryrelatededvisitsper100age0to17,numberacuterespiratorytractinfectionrelateded_visitsage0to17,acuterespiratorytractinfectionrelateded_visitsper100age0to17
420031403001,42,3,140300,1,859,2016.0,16.2,192,23.0,12.0,28.0,14.6,11.0,5.7,1.0,0.5,5.0,3.0,1.6,3.0,1.6
420031403001,42,3,140300,1,859,2019.0,16.2,192,24.0,12.5,25.0,13.0,5.0,2.6,1.0,0.5,4.0,1.0,0.5,2.0,1.0
420031403002,42,3,140300,2,965,2018.0,10.0,173,25.0,14.5,37.0,21.4,20.0,11.6,6.0,3.5,4.0,1.0,0.6,1.0,0.6
420031403002,42,3,140300,2,965,2019.0,10.0,173,23.0,13.3,33.0,19.1,24.0,13.9,2.0,1.2,6.0,1.0,0.6,3.0,1.7
420031403003,42,3,140300,3,950,2017.0,14.0,208,22.0,10.6,28.0,13.5,9.0,4.3,2.0,1.0,7.0,1.0,0.5,4.0,1.9
420031404001,42,3,140400,1,799,2017.0,7.2,165,22.0,13.3,29.0,17.6,11.0,6.7,2.0,1.2,4.0,2.0,1.2,2.0,1.2
420031404002,42,3,140400,2,609,2018.0,8.8,140,22.0,15.7,28.0,20.0,14.0,10.0,2.0,1.4,3.0,2.0,1.4,1.0,0.7
420031404003,42,3,140400,3,911,2019.0,14.6,189,30.0,15.9,39.0,20.6,21.0,11.1,4.0,2.1,2.0,1.0,0.5,2.0,1.1
420031405001,42,3,140500,1,589,2016.0,4.2,61,42.0,68.9,58.0,95.1,18.0,29.5,10.0,16.4,7.0,1.0,1.6,7.0,11.5
420031405001,42,3,140500,1,589,2017.0,4.2,61,39.0,63.9,59.0,96.7,18.0,29.5,6.0,9.8,6.0,1.0,1.6,12.0,19.7
420031405001,42,3,140500,1,589,2019.0,4.2,61,24.0,39.3,30.0,49.2,18.0,29.5,3.0,4.9,5.0,1.0,1.6,3.0,4.9
420031406001,42,3,140600,1,1333,2016.0,32.2,290,50.0,17.2,67.0,23.1,28.0,9.7,13.0,4.5,10.0,3.0,1.0,3.0,1.0
420031406001,42,3,140600,1,1333,2018.0,32.2,290,51.0,17.6,67.0,23.1,35.0,12.1,10.0,3.4,6.0,1.0,0.3,4.0,1.4
420031406002,42,3,140600,2,994,2019.0,3.0,190,26.0,13.7,29.0,15.3,17.0,8.9,1.0,0.5,4.0,1.0,0.5,2.0,1.1
420031406003,42,3,140600,3,825,2017.0,14.4,162,30.0,18.5,39.0,24.1,14.0,8.6,10.0,6.2,4.0,1.0,0.6,5.0,3.1
420031406003,42,3,140600,3,825,2019.0,14.4,162,35.0,21.6,49.0,30.2,24.0,14.8,5.0,3.1,10.0,4.0,2.5,4.0,2.5
420031408002,42,3,140800,2,1792,2016.0,8.6,243,59.0,24.3,76.0,31.3,40.0,16.5,12.0,4.9,4.0,2.0,0.8,8.0,3.3
420031408002,42,3,140800,2,1792,2017.0,8.6,243,51.0,21.0,62.0,25.5,23.0,9.5,5.0,2.1,1.0,1.0,0.4,5.0,2.1
420031408003,42,3,140800,3,846,2018.0,0.0,150,26.0,17.3,40.0,26.7,21.0,14.0,10.0,6.7,15.0,1.0,0.7,8.0,5.3
420031408003,42,3,140800,3,846,2019.0,0.0,150,21.0,14.0,49.0,32.7,34.0,22.7,8.0,5.3,19.0,4.0,2.7,12.0,8.0
420031410001,42,3,141000,1,953,2017.0,12.8,215,30.0,14.0,39.0,18.1,21.0,9.8,5.0,2.3,6.0,3.0,1.4,3.0,1.4
420031410001,42,3,141000,1,953,2018.0,12.8,215,28.0,13.0,33.0,15.3,23.0,10.7,4.0,1.9,7.0,3.0,1.4,2.0,0.9
420031410001,42,3,141000,1,953,2019.0,12.8,215,26.0,12.1,35.0,16.3,18.0,8.4,2.0,0.9,8.0,1.0,0.5,4.0,1.9
420031411001,42,3,141100,1,1300,2016.0,8.2,248,42.0,16.9,60.0,24.2,28.0,11.3,11.0,4.4,2.0,1.0,0.4,3.0,1.2
420031411001,42,3,141100,1,1300,2017.0,8.2,248,44.0,17.7,56.0,22.6,24.0,9.7,1.0,0.4,6.0,1.0,0.4,5.0,2.0
420031411001,42,3,141100,1,1300,2018.0,8.2,248,38.0,15.3,61.0,24.6,27.0,10.9,2.0,0.8,8.0,1.0,0.4,5.0,2.0
420031411001,42,3,141100,1,1300,2019.0,8.2,248,48.0,19.4,68.0,27.4,38.0,15.3,4.0,1.6,8.0,2.0,0.8,8.0,3.2
420031413001,42,3,141300,1,1354,2016.0,22.6,260,27.0,10.4,37.0,14.2,13.0,5.0,3.0,1.2,2.0,1.0,0.4,4.0,1.5
420031413001,42,3,141300,1,1354,2017.0,22.6,260,31.0,11.9,41.0,15.8,14.0,5.4,8.0,3.1,3.0,1.0,0.4,5.0,1.9
420031413002,42,3,141300,2,1535,2016.0,17.0,301,37.0,12.3,44.0,14.6,22.0,7.3,4.0,1.3,9.0,1.0,0.3,2.0,0.7
